0.14,3.4477e+05
0.14617,2.0402e+05
0.15261,1.2262e+05
0.15933,74939
0.16635,45849
0.17368,28775
0.18134,18808
0.18933,12798
0.19767,8920.6
0.20638,6391
0.21547,4720.7
0.22496,3487.8
0.23488,2643.4
0.24523,2053.4
0.25603,1632.4
0.26731,1320.8
0.27909,1081.1
0.29139,903.88
0.30423,770.94
0.31763,670.04
0.33163,592.82
0.34624,532.73
0.36149,474.57
0.37742,428.23
0.39405,391.96
0.41141,363.89
0.42954,342.29
0.44847,325.99
0.46823,314.03
0.48886,304.35
0.5104,297.44
0.53289,293.53
0.55637,291.65
0.58088,292.13
0.60647,293.47
0.6332,291.04
0.6611,289.96
0.69022,285.5
0.72064,279.1
0.75239,272.66
0.78554,268.12
0.82015,258.82
0.85629,251.86
0.89402,245.48
0.93341,240.21
0.97454,236.22
1.0175,229.73
1.0623,220.29
1.1091,212.11
1.158,205.48
1.209,199.3
1.2623,193.04
1.3179,187.65
1.376,182.43
1.4366,178.7
1.4999,171.23
1.566,164.8
1.635,160.06
1.707,156.67
1.7822,148.71
1.8607,142.04
1.9427,136.67
2.0283,132.45
2.1177,129.24
2.211,126.9
2.3084,125.35
2.4101,124.49
2.5163,121.75
2.6272,119.2
2.743,117.45
2.8638,116.46
2.99,116.09
3.1218,116.29
3.2593,117.01
3.4029,118.21
3.5529,119.88
3.7094,121.97
3.8728,124.47
4.0435,127.35
4.2216,130.62
4.4077,134.28
4.6019,138.33
4.8046,142.75
5.0163,147.54
5.2374,152.46
5.4681,157.73
5.7091,163.4
5.9606,169.47
6.2232,175.94
6.4974,182.83
6.7837,190.14
7.0826,197.89
7.3947,206.09
7.7205,214.75
8.0607,223.89
8.4159,233.52
8.7867,243.66
9.1738,254.32
9.578,265.54
10,277.32
